Band,Dataset,LocType,PLE,sigma_SF_dB,PLE_CFI_width,DS_mean_ns,DS_CFI_width_ns,ASA_mean_d,ASA_CFI_width_d,ASD_mean_d,ASD_CFI_width_d
Sub-THz,NYU only,LOS,1.96,2.63,0.16,15.77,34.62,6.27,9.35,5.13,3.06
Sub-THz,NYU only,NLOS,2.92,8.28,0.54,35.27,41.77,45.97,69.40,8.95,10.66
Sub-THz,USC only,LOS,1.90,0.86,0.05,26.57,26.77,15.74,6.54,10.98,1.73
Sub-THz,USC only,NLOS,2.84,6.00,0.37,31.88,28.67,31.10,19.74,21.60,11.62
Sub-THz,Pooled,LOS,1.93,2.09,0.09,24.29,27.14,11.09,6.80,8.03,3.84
Sub-THz,Pooled,NLOS,2.88,7.18,0.34,34.72,27.19,36.56,26.42,16.51,11.02
6.75 GHz,NYU only,LOS,1.79,2.56,0.19,67.55,97.97,25.97,25.95,37.98,40.71
6.75 GHz,NYU only,NLOS,2.56,6.51,0.42,129.79,184.38,32.02,20.40,40.76,30.88
6.75 GHz,USC only,LOS,1.92,1.42,0.12,14.63,21.06,10.48,6.96,5.87,0.91
6.75 GHz,USC only,NLOS,2.62,7.33,0.37,29.00,55.32,12.60,4.89,12.23,3.00
6.75 GHz,Pooled,LOS,1.85,2.44,0.13,49.90,87.45,18.10,9.09,21.57,13.79
6.75 GHz,Pooled,NLOS,2.59,6.96,0.26,68.40,70.19,22.53,6.91,26.87,10.17
