Band,Metric,Variant,Paper,Python,MATLAB,PyStatus,MLStatus
Sub-THz,PL [dB],USC_data_NYU_thres,3.39,NaN,3.38641881143081,-,TIGHT
Sub-THz,PL [dB],USC_data_USC_thres,3.01,NaN,3.00754967074835,-,TIGHT
Sub-THz,PL [dB],NYU_data_USC_thres,14.2,NaN,14.1960693742547,-,TIGHT
Sub-THz,PL [dB],NYU_data_NYU_thres,1.68,NaN,1.68132947020752,-,TIGHT
Sub-THz,DS [ns],USC_data_NYU_thres,61.63,NaN,61.3551361840144,-,TIGHT
Sub-THz,DS [ns],USC_data_USC_thres,4.71,NaN,4.70683995023825,-,TIGHT
Sub-THz,DS [ns],NYU_data_USC_thres,46.13,NaN,45.2723525455045,-,TIGHT
Sub-THz,DS [ns],NYU_data_NYU_thres,18.6,NaN,18.5613918763988,-,TIGHT
Sub-THz,ASA [deg],USC_data_NYU_thres,6.12,NaN,6.11871372857954,-,TIGHT
Sub-THz,ASA [deg],USC_data_USC_thres,0,NaN,0,-,TIGHT
Sub-THz,ASA [deg],NYU_data_USC_thres,8.62,NaN,8.49772780087582,-,TIGHT
Sub-THz,ASA [deg],NYU_data_NYU_thres,0,NaN,0,-,TIGHT
Sub-THz,ASD [deg],USC_data_NYU_thres,2.01,NaN,2.01190877603258,-,TIGHT
Sub-THz,ASD [deg],USC_data_USC_thres,0,NaN,0.0019611613513818,-,TIGHT
Sub-THz,ASD [deg],NYU_data_USC_thres,4.16,NaN,4.15737675481565,-,TIGHT
Sub-THz,ASD [deg],NYU_data_NYU_thres,0,NaN,0,-,TIGHT
6.75 GHz,PL [dB],USC_data_NYU_thres,2.73,NaN,2.73112583353618,-,TIGHT
6.75 GHz,PL [dB],USC_data_USC_thres,2.89,NaN,2.88940532603394,-,TIGHT
6.75 GHz,PL [dB],NYU_data_USC_thres,3.68,NaN,3.68191531765259,-,TIGHT
6.75 GHz,PL [dB],NYU_data_NYU_thres,3.25,NaN,3.25285737571326,-,TIGHT
6.75 GHz,DS [ns],USC_data_NYU_thres,12.04,NaN,12.0375642570947,-,TIGHT
6.75 GHz,DS [ns],USC_data_USC_thres,4.24,NaN,4.24355889819755,-,TIGHT
6.75 GHz,DS [ns],NYU_data_USC_thres,32.54,NaN,32.5423964451496,-,TIGHT
6.75 GHz,DS [ns],NYU_data_NYU_thres,14.72,NaN,14.7227810426395,-,TIGHT
6.75 GHz,ASA [deg],USC_data_NYU_thres,5.31,NaN,5.30819289068379,-,TIGHT
6.75 GHz,ASA [deg],USC_data_USC_thres,0,NaN,0,-,TIGHT
6.75 GHz,ASA [deg],NYU_data_USC_thres,20.85,NaN,20.8513732561351,-,TIGHT
6.75 GHz,ASA [deg],NYU_data_NYU_thres,0,NaN,0,-,TIGHT
6.75 GHz,ASD [deg],USC_data_NYU_thres,2.78,NaN,2.77657321594973,-,TIGHT
6.75 GHz,ASD [deg],USC_data_USC_thres,0,NaN,0,-,TIGHT
6.75 GHz,ASD [deg],NYU_data_USC_thres,40.14,NaN,40.136980800476,-,TIGHT
6.75 GHz,ASD [deg],NYU_data_NYU_thres,0,NaN,0,-,TIGHT
