Band,Dataset,LocType,Metric,Paper,Python,MATLAB,PyStatus,MLStatus
Sub-THz,NYU only,LOS,PLE,1.96,1.958,1.95804867033472,TIGHT,TIGHT
Sub-THz,NYU only,LOS,sigma_SF_dB,2.63,2.633,2.63297946592766,TIGHT,TIGHT
Sub-THz,NYU only,LOS,PLE_CFI_width,0.16,0.1569,0.153827688301472,TIGHT,TIGHT
Sub-THz,NYU only,LOS,DS_mean_ns,15.77,14.5432,14.5432007899005,CLOSE,CLOSE
Sub-THz,NYU only,LOS,DS_CFI_width_ns,34.62,32.7383,31.9872806108748,TIGHT,TIGHT
Sub-THz,NYU only,LOS,ASA_mean_d,6.27,6.1609,6.16091721553038,TIGHT,TIGHT
Sub-THz,NYU only,LOS,ASA_CFI_width_d,9.35,8.1576,8.87634596565151,TIGHT,TIGHT
Sub-THz,NYU only,LOS,ASD_mean_d,5.13,5.072,5.07200906106854,TIGHT,TIGHT
Sub-THz,NYU only,LOS,ASD_CFI_width_d,4.57,4.6913,4.56935691439667,TIGHT,TIGHT
Sub-THz,NYU only,NLOS,PLE,2.92,2.9186,2.9186402316357,TIGHT,TIGHT
Sub-THz,NYU only,NLOS,sigma_SF_dB,8.28,8.2839,8.28391248828511,TIGHT,TIGHT
Sub-THz,NYU only,NLOS,PLE_CFI_width,0.54,0.5534,0.55127145260446,TIGHT,TIGHT
Sub-THz,NYU only,NLOS,DS_mean_ns,35.27,30.9899,30.9899195855518,CLOSE,CLOSE
Sub-THz,NYU only,NLOS,DS_CFI_width_ns,41.77,34.7166,36.5789257501053,CLOSE,TIGHT
Sub-THz,NYU only,NLOS,ASA_mean_d,45.97,43.1489,43.1489049914743,CLOSE,CLOSE
Sub-THz,NYU only,NLOS,ASA_CFI_width_d,36.45,35.9376,36.4522255061844,TIGHT,TIGHT
Sub-THz,NYU only,NLOS,ASD_mean_d,8.95,8.7161,8.71606003048433,CLOSE,CLOSE
Sub-THz,NYU only,NLOS,ASD_CFI_width_d,10.66,10.3573,10.0002609108636,TIGHT,TIGHT
Sub-THz,USC only,LOS,PLE,1.9,1.8894,1.88943430446309,TIGHT,TIGHT
Sub-THz,USC only,LOS,sigma_SF_dB,0.86,0.8575,0.857538315477885,TIGHT,TIGHT
Sub-THz,USC only,LOS,PLE_CFI_width,0.05,0.0527,0.0519549357781377,TIGHT,TIGHT
Sub-THz,USC only,LOS,DS_mean_ns,26.57,25.6468,25.6468287855511,CLOSE,CLOSE
Sub-THz,USC only,LOS,DS_CFI_width_ns,26.77,25.375,25.8326025413927,TIGHT,TIGHT
Sub-THz,USC only,LOS,ASA_mean_d,15.74,15.653,15.6529908210259,TIGHT,TIGHT
Sub-THz,USC only,LOS,ASA_CFI_width_d,6.54,7.176,7.41211309885729,TIGHT,TIGHT
Sub-THz,USC only,LOS,ASD_mean_d,10.98,10.9669,10.9668664937075,TIGHT,TIGHT
Sub-THz,USC only,LOS,ASD_CFI_width_d,1.73,1.7192,1.76149303933734,TIGHT,TIGHT
Sub-THz,USC only,NLOS,PLE,2.84,2.8229,2.82292628378638,TIGHT,TIGHT
Sub-THz,USC only,NLOS,sigma_SF_dB,6,6.0029,6.00288848369949,TIGHT,TIGHT
Sub-THz,USC only,NLOS,PLE_CFI_width,0.37,0.3814,0.378500853140778,TIGHT,TIGHT
Sub-THz,USC only,NLOS,DS_mean_ns,31.88,30.624,30.6239526665798,CLOSE,CLOSE
Sub-THz,USC only,NLOS,DS_CFI_width_ns,28.67,25.5303,25.1262985591574,TIGHT,TIGHT
Sub-THz,USC only,NLOS,ASA_mean_d,31.1,30.7052,30.7051666515532,TIGHT,TIGHT
Sub-THz,USC only,NLOS,ASA_CFI_width_d,19.74,20.5802,21.0200115100407,TIGHT,TIGHT
Sub-THz,USC only,NLOS,ASD_mean_d,21.6,21.3978,21.3978223277165,TIGHT,TIGHT
Sub-THz,USC only,NLOS,ASD_CFI_width_d,11.62,11.3215,10.8604139703573,TIGHT,TIGHT
Sub-THz,Pooled,LOS,PLE,1.93,1.9277,1.92765725703085,TIGHT,TIGHT
Sub-THz,Pooled,LOS,sigma_SF_dB,2.09,2.0957,2.09567234708825,TIGHT,TIGHT
Sub-THz,Pooled,LOS,PLE_CFI_width,0.09,0.0977,0.0965486839399372,TIGHT,TIGHT
Sub-THz,Pooled,LOS,DS_mean_ns,24.29,23.5553,23.5553320334121,CLOSE,CLOSE
Sub-THz,Pooled,LOS,DS_CFI_width_ns,27.14,26.4689,27.6022591403858,TIGHT,TIGHT
Sub-THz,Pooled,LOS,ASA_mean_d,11.09,10.9565,10.9565439850647,TIGHT,TIGHT
Sub-THz,Pooled,LOS,ASA_CFI_width_d,6.8,7.8192,8.22982738390496,TIGHT,CLOSE
Sub-THz,Pooled,LOS,ASD_mean_d,8.03,7.9753,7.97525932102877,TIGHT,TIGHT
Sub-THz,Pooled,LOS,ASD_CFI_width_d,3.84,3.9755,4.1043463670201,TIGHT,TIGHT
Sub-THz,Pooled,NLOS,PLE,2.88,2.8698,2.86978377315259,TIGHT,TIGHT
Sub-THz,Pooled,NLOS,sigma_SF_dB,7.18,7.1741,7.17414170741384,TIGHT,TIGHT
Sub-THz,Pooled,NLOS,PLE_CFI_width,0.34,0.3188,0.329510795475557,TIGHT,TIGHT
Sub-THz,Pooled,NLOS,DS_mean_ns,34.72,33.3386,33.3386112097694,CLOSE,CLOSE
Sub-THz,Pooled,NLOS,DS_CFI_width_ns,27.19,24.9493,25.3629860741189,TIGHT,TIGHT
Sub-THz,Pooled,NLOS,ASA_mean_d,36.56,35.974,35.9740211510135,TIGHT,TIGHT
Sub-THz,Pooled,NLOS,ASA_CFI_width_d,26.42,19.3744,20.2858095230959,CLOSE,CLOSE
Sub-THz,Pooled,NLOS,ASD_mean_d,16.51,16.2843,16.2842638318805,TIGHT,TIGHT
Sub-THz,Pooled,NLOS,ASD_CFI_width_d,11.02,10.2881,10.088970488725,TIGHT,TIGHT
6.75 GHz,NYU only,LOS,PLE,1.79,1.8101,1.81010777768816,TIGHT,TIGHT
6.75 GHz,NYU only,LOS,sigma_SF_dB,2.56,2.6128,2.61279533793522,CLOSE,CLOSE
6.75 GHz,NYU only,LOS,PLE_CFI_width,0.19,0.2105,0.208951753331501,TIGHT,TIGHT
6.75 GHz,NYU only,LOS,DS_mean_ns,67.55,63.7562,63.7562257518773,CLOSE,CLOSE
6.75 GHz,NYU only,LOS,DS_CFI_width_ns,97.97,106.8462,108.190674674796,TIGHT,TIGHT
6.75 GHz,NYU only,LOS,ASA_mean_d,25.97,25.203,25.2030329842352,CLOSE,CLOSE
6.75 GHz,NYU only,LOS,ASA_CFI_width_d,25.95,27.1352,26.9333362014487,TIGHT,TIGHT
6.75 GHz,NYU only,LOS,ASD_mean_d,37.98,36.6988,36.6988195058144,CLOSE,CLOSE
6.75 GHz,NYU only,LOS,ASD_CFI_width_d,40.71,39.4617,39.5008012828767,TIGHT,TIGHT
6.75 GHz,NYU only,NLOS,PLE,2.56,2.5018,2.50176568432339,CLOSE,CLOSE
6.75 GHz,NYU only,NLOS,sigma_SF_dB,6.51,7.9057,7.90574579422273,CLOSE,CLOSE
6.75 GHz,NYU only,NLOS,PLE_CFI_width,0.42,0.4352,0.420244361211093,TIGHT,TIGHT
6.75 GHz,NYU only,NLOS,DS_mean_ns,129.79,112.6883,112.688267543221,CLOSE,CLOSE
6.75 GHz,NYU only,NLOS,DS_CFI_width_ns,127.03,131.6591,127.033329543837,TIGHT,TIGHT
6.75 GHz,NYU only,NLOS,ASA_mean_d,32.02,31.6086,31.6086085685801,TIGHT,TIGHT
6.75 GHz,NYU only,NLOS,ASA_CFI_width_d,20.4,20.619,20.4011758283477,TIGHT,TIGHT
6.75 GHz,NYU only,NLOS,ASD_mean_d,40.76,40.0407,40.0406977590808,TIGHT,TIGHT
6.75 GHz,NYU only,NLOS,ASD_CFI_width_d,30.88,31.1778,31.4999474184619,TIGHT,TIGHT
6.75 GHz,USC only,LOS,PLE,1.92,1.9154,1.91536046134837,TIGHT,TIGHT
6.75 GHz,USC only,LOS,sigma_SF_dB,1.42,1.4244,1.42435584402778,TIGHT,TIGHT
6.75 GHz,USC only,LOS,PLE_CFI_width,0.12,0.1179,0.114456383040448,TIGHT,TIGHT
6.75 GHz,USC only,LOS,DS_mean_ns,14.63,13.0942,13.0942253249341,CLOSE,CLOSE
6.75 GHz,USC only,LOS,DS_CFI_width_ns,21.06,19.1173,19.1383367090022,TIGHT,TIGHT
6.75 GHz,USC only,LOS,ASA_mean_d,10.48,10.2642,10.2641516192958,CLOSE,CLOSE
6.75 GHz,USC only,LOS,ASA_CFI_width_d,6.33,12.898,12.6654740321035,TIGHT,TIGHT
6.75 GHz,USC only,LOS,ASD_mean_d,5.87,5.863,5.86296591316275,TIGHT,TIGHT
6.75 GHz,USC only,LOS,ASD_CFI_width_d,0.79,1.6114,1.58309870996684,TIGHT,TIGHT
6.75 GHz,USC only,NLOS,PLE,2.62,2.6157,2.61566871606695,TIGHT,TIGHT
6.75 GHz,USC only,NLOS,sigma_SF_dB,7.33,7.3326,7.33263521392767,TIGHT,TIGHT
6.75 GHz,USC only,NLOS,PLE_CFI_width,0.37,0.3654,0.384220311184629,TIGHT,TIGHT
6.75 GHz,USC only,NLOS,DS_mean_ns,29,27.5798,27.5797691717687,CLOSE,CLOSE
6.75 GHz,USC only,NLOS,DS_CFI_width_ns,55.32,51.6514,53.3025696469493,TIGHT,TIGHT
6.75 GHz,USC only,NLOS,ASA_mean_d,12.6,12.3597,12.359709409476,TIGHT,TIGHT
6.75 GHz,USC only,NLOS,ASA_CFI_width_d,4.55,9.0795,9.09870298598194,TIGHT,TIGHT
6.75 GHz,USC only,NLOS,ASD_mean_d,12.23,12.1684,12.168361451131,TIGHT,TIGHT
6.75 GHz,USC only,NLOS,ASD_CFI_width_d,2.83,5.5362,5.65141613738403,TIGHT,TIGHT
6.75 GHz,Pooled,LOS,PLE,1.85,1.8622,1.86224072528681,TIGHT,TIGHT
6.75 GHz,Pooled,LOS,sigma_SF_dB,2.44,2.361,2.36102086378788,CLOSE,CLOSE
6.75 GHz,Pooled,LOS,PLE_CFI_width,0.13,0.1326,0.128421483546637,TIGHT,TIGHT
6.75 GHz,Pooled,LOS,DS_mean_ns,49.9,42.8178,42.8178079340421,CLOSE,CLOSE
6.75 GHz,Pooled,LOS,DS_CFI_width_ns,87.45,76.3693,79.5824845696732,TIGHT,TIGHT
6.75 GHz,Pooled,LOS,ASA_mean_d,18.1,18.0416,18.0415594953016,TIGHT,TIGHT
6.75 GHz,Pooled,LOS,ASA_CFI_width_d,8.85,18.2727,17.6942119314174,TIGHT,TIGHT
6.75 GHz,Pooled,LOS,ASD_mean_d,21.57,20.844,20.8439584245297,CLOSE,CLOSE
6.75 GHz,Pooled,LOS,ASD_CFI_width_d,14.74,28.3416,29.474433246766,TIGHT,TIGHT
6.75 GHz,Pooled,NLOS,PLE,2.59,2.5584,2.55838082248803,TIGHT,TIGHT
6.75 GHz,Pooled,NLOS,sigma_SF_dB,6.96,7.7396,7.7396038671456,CLOSE,CLOSE
6.75 GHz,Pooled,NLOS,PLE_CFI_width,0.26,0.2834,0.286444040085971,TIGHT,TIGHT
6.75 GHz,Pooled,NLOS,DS_mean_ns,68.4,66.4307,66.4306850960133,CLOSE,CLOSE
6.75 GHz,Pooled,NLOS,DS_CFI_width_ns,70.19,66.3845,66.6406489367026,TIGHT,TIGHT
6.75 GHz,Pooled,NLOS,ASA_mean_d,22.53,22.3872,22.3872215857506,TIGHT,TIGHT
