TX_RX_ID,Environment,TX_Power_dBm,PL_NYU_SUM_dB,PL_USC_perDelayMax_dB,Delta_PL_dB,DS_NYU_SUM_ns,DS_USC_perDelayMax_ns,Delta_DS_ns,ASA_NYU_10dB,ASA_NYU_15dB,ASA_NYU_20dB,ASA_USC,Delta_ASA_10dB,ASD_NYU_10dB,ASD_NYU_15dB,ASD_NYU_20dB,ASD_USC,Delta_ASD_10dB
T1-R1,LOS,-3.5,102.653773486323,103.503218968976,-0.849445482653465,7.49490077483513,7.68376348382944,-0.188862708994304,3.26465840306243,12.9678389703858,10.1940537847465,9.27111627823209,-6.00645787516966,3.26465840306243,12.7676094140951,10.1659331344356,8.26457040047391,-4.99991199741148
T1-R14,NLOS,-1.2,129.687787371397,131.51162269739,-1.82383532599323,13.0748194533639,12.2558533311172,0.818966122246685,54.8653011611976,52.7226278096364,53.4481392061136,51.7574434102113,3.10785775098623,3.26465840306265,2.67943003849162,1.95580370242929,8.53773646251594e-07,3.264657549289
T1-R16,NLOS,-1.2,126.941628631435,128.208889464991,-1.26726083355561,23.1638010382043,25.0925976013593,-1.92879656315493,50.2892216577779,45.5176016209505,43.5669298596563,42.7644268914679,7.52479476630997,3.26465840306254,2.67943003849189,3.57743623674852,1.8149733617325,1.44968504133004
T1-R18,NLOS,-1.2,136.940681086492,138.4299983439,-1.48931725740741,56.4670029190778,53.0581117418056,3.40889117727224,41.8024037881302,41.5079063903734,41.3776988943387,41.291516570846,0.5108872172842,9.10202701144889,8.69330633996327,8.40264867348482,8.08114424507231,1.02088276637658
T1-R23,LOS,-1.5,110.866994002657,112.693523767415,-1.82652976475828,22.0401409467461,23.1648064154197,-1.12466546867356,52.0317886295433,48.3698605219412,51.0626169700925,48.8384015370719,3.19338709247145,5.40599062063642,6.37212104261615,5.84321437948641,5.19895739310241,0.20703322753401
T1-R27,LOS,-1.87,104.436717865849,106.170763073776,-1.73404520792722,5.53180024580915,6.1691682750766,-0.637368029267451,3.26465840306243,3.61147695191705,3.09725079314837,5.24565050112908,-1.98099209806665,3.26465840306243,2.67943003849162,1.9558037024291,0.608739896936773,2.65591850612565
T1-R31,LOS,-1.87,105.096145872059,106.391085116743,-1.29493924468373,15.5341004684231,16.0679625918646,-0.533862123441532,3.26465840306254,4.15790498035108,3.56428669049187,9.18407289800695,-5.91941449494441,3.26465840306243,2.67943003849148,6.86959302319602,3.95804551693649,-0.693387113874066
T1-R5,LOS,-3.5,102.15632836418,103.126943333577,-0.970614969397673,3.18781620125001,2.88831406599989,0.299502135250116,3.26465840306243,3.10006010420921,2.77084441533919,10.2762134816857,-7.01155507862327,3.26465840306243,3.90002715462425,3.10841743880666,1.96612061528291,1.29853778777951
T1-R9,NLOS,-1.5,126.518692945011,127.492957331119,-0.974264386107976,18.3835140648055,19.4901640438612,-1.10664997905563,71.3273886647998,70.2663202400203,68.4460559166129,67.7282493372405,3.59913932755924,3.26465840306254,2.67943003849162,1.95580370242929,1.20741826972573e-06,3.26465719564427
T2-R1,LOS,-2,112.082400296816,113.598408050919,-1.51600775410367,31.8773127103521,27.8328021535804,4.04451055677169,3.26465840306254,3.8013374740288,5.28039037042588,11.1527569467428,-7.88809854368023,3.26465840306254,2.92227429270039,5.13619466351977,7.67635031252417,-4.41169190946163
