Location,Env,Distance_m,PL_NYU_dB,PL_USC_dB,Delta_PL_dB,DS_NYU_ns,DS_USC_ns,Delta_DS_ns,ASA_NYU_10dB,ASA_NYU_15dB,ASA_NYU_20dB,ASA_USC,ASD_NYU_10dB,ASD_NYU_15dB,ASD_NYU_20dB,ASD_USC
R01,LOS,64.5,102.923356539457,109.643698515016,-6.72034197555926,51.4387216736718,57.3054660187386,-5.86674434506678,26.9622337195909,24.8020023699067,31.1162227317421,29.7063005922551,9.88245901980288,10.7204071413615,12.0500652618664,11.7585223224108
R02,LOS,82.5,106.13368602977,112.721071597866,-6.58738556809625,30.7034792943547,32.9113954092503,-2.20791611489557,9.69872247604415,10.8363796441629,18.3081208458729,16.7658784975827,10.3518348592369,11.4030016456385,11.8604714856555,11.740493531866
R03,LOS,32.1,97.7386883965611,103.750396454392,-6.01170805783076,13.9093033599388,14.8302675472572,-0.920964187318319,10.2944686524995,9.57341342085126,9.34733080706065,10.0587799445377,9.41923073787215,9.45907653750797,9.38527150846978,9.81616086656738
R04,LOS,40.8,100.181302320612,107.091303903982,-6.91000158337037,28.1151149638848,31.4949601516371,-3.37984518775227,9.79251865804649,9.63803485769768,9.51631378947822,13.1691977460043,10.3145380633759,10.0979586913868,11.0277870987506,11.176163429424
R05,LOS,49.8,101.624128907384,107.805063160305,-6.18093425292055,18.5572526613261,20.6478092981326,-2.09055663680652,9.7543859111865,9.50809592070853,9.37471029067506,11.2830459465228,9.77284496858496,9.36687512371199,10.8808675376573,10.5761647348569
R06,LOS,72.3,103.914552816928,110.070655244637,-6.15610242770892,67.6247243153829,68.3303805298512,-0.705656214468291,15.4022458631847,32.3919049146172,28.657340379545,28.6439178901239,9.5177147679147,14.6885403347269,14.589599823581,14.0650039722883
R07,LOS,20.4,92.0950862588042,99.4693896620824,-7.3743034032782,2.53954773553058,3.67793842904764,-1.13839069351706,10.3209571161866,10.3741726842562,10.4479209731787,13.1747059617566,10.215431989585,10.3756123370467,10.398279118208,10.0965674513711
R08,LOS,33.9,97.931775281906,104.482705351,-6.55093006909445,11.1117637670149,12.9545044464544,-1.8427406794395,9.7934965607918,9.98538541831046,9.83346643363612,10.4164661068832,9.87999483581984,9.70009277255506,9.72579554643027,9.24866280686246
R09,LOS,45.9,100.507399852187,107.03056098334,-6.52316113115282,9.07454485987275,11.5634494092338,-2.48890454936101,10.0789132986375,9.62261459233107,9.3626010682504,10.7102016519324,9.62663391182969,9.55761140154829,9.53601183160719,9.21214596784007
R10,LOS,54.3,101.541505224479,107.872645390272,-6.3311401657932,24.0978411630156,25.645697193666,-1.54785603065041,9.80133996963831,17.6110018181045,22.2306348988283,21.9320833938523,9.46384210365411,14.5893116282603,13.9106373893853,13.2484058083389
R11,LOS,36.3,101.153032232357,107.523462782569,-6.37043055021155,4.5699859253694,5.19992595565457,-0.629940030285171,9.90136275319682,9.71961116996887,9.78967895546636,11.02905537871,9.63375306188117,9.55259677797219,9.51777568713024,9.46702445380853
R12,LOS,57.9,103.031290752024,108.644869694929,-5.61357894290546,2.17774416605825,2.65040750670867,-0.472663340650417,10.4613668958422,10.1430085492664,10.8270236427542,10.9692677617916,9.5090269965169,9.58326031363702,9.46990720269118,9.21750310842976
R13,LOS,65.7,101.928613619701,109.572015474658,-7.64340185495736,1.86676585785307,2.82507781693236,-0.958311959079286,11.9301076559993,10.9817791871652,11.0768633066178,11.8549712172326,11.742108949925,11.47118174858,11.0968148651426,10.9625109035449
R01,NLOS,46,118.915754184103,122.654730712596,-3.73897652849257,24.1706779865152,22.7106315740786,1.4600464124366,10.8027526971436,13.9262122144341,16.7607873415274,16.175116247713,47.6241853738247,46.7310606034692,46.5558940305517,46.2923836106458
R02,NLOS,73,123.564574368809,128.462502196174,-4.8979278273645,20.718075587815,21.955121989416,-1.237046401601,11.174243372013,23.0747820565621,22.0219701203315,22.8719790917392,32.3242771112633,32.6668423414313,32.1207487269909,31.7403939072799
R03,NLOS,83,125.115458176798,129.227468830687,-4.112010653889,17.1283866193773,17.9276808729466,-0.799294253569339,29.023823215503,27.8953670431866,27.6373153024367,27.9807714881203,28.9338295979135,27.3135666587771,26.5672456905348,25.8611951617732
R04,NLOS,40.66,116.638752982227,122.943102529028,-6.30434954680088,37.0867852703845,55.2501836950152,-18.1633984246307,44.1965778759655,45.962851256178,48.9060769721254,48.1621519198063,11.0213280714727,15.383812070435,15.6937487107462,15.0978376689896
R05,NLOS,53.35,117.625305015616,121.790809363981,-4.16550434836499,61.472798185473,60.4258056868921,1.04699249858093,75.2251695175718,77.667214024766,78.4282984071984,78.3669578562045,23.9123219446782,23.7606196339501,23.0213008640056,22.5421208940852
R06,NLOS,62.56,123.244880453342,127.112292839174,-3.86741238583222,38.7021639357067,44.3019078045016,-5.59974386879492,55.4050670692059,54.161365294908,53.7249195283503,53.5785727065566,26.2264192016558,22.3900820678537,21.4641574162448,20.858396323278
R07,NLOS,35,104.910017267395,109.450386788352,-4.54036952095686,4.23914556982983,4.9032666954261,-0.664121125596271,9.1939378109937,12.1702508940907,18.6596280897234,18.3765492824491,9.69756382106172,9.41833504219492,10.2325005307439,10.2452005867814
R08,NLOS,45.47,101.256685813619,106.167962338277,-4.91127652465791,1.73772858921748,2.08416186921986,-0.346433280002376,9.90654320360319,10.0426057316915,9.69239875787125,10.3475460867372,10.2755831197613,10.0060757819236,9.51718594915032,9.50779538998535
R09,NLOS,58.5,115.372385539643,121.756436214015,-6.38405067437169,10.4473805886769,16.6573933395064,-6.21001275082955,17.3753513220389,17.4575062916629,20.7187095658802,19.7795552923372,27.0412938335558,26.5431549514399,26.8707941516787,26.3790763778233
R10,NLOS,65.7,120.63923995558,125.223349392225,-4.58410943664514,17.2995396547055,26.0099855279855,-8.71044587328002,10.9848611232172,11.4207493474885,11.4615479685416,17.474189409259,12.1715092383718,13.3372084928722,13.6644606107828,13.0404060773528
R11,NLOS,18.3,112.819165646627,118.936159766901,-6.11699412027359,8.83002382363762,12.0657246612179,-3.23570083758028,17.2122344199505,23.6757255039259,23.52214416333,24.3892174670003,18.1711246130656,17.0224421167811,16.6553631447983,16.7361938722815
R12,NLOS,20.8,105.207490634769,109.378902982543,-4.17141234777394,2.58051187427317,2.97259968929656,-0.392087815023388,9.6358015647971,8.83517366558321,9.25365069679951,10.0582619070549,9.43701701822864,9.10449648609793,8.9642921042902,9.01710702544402
R13,NLOS,30,120.40018042353,124.317966025966,-3.91778560243529,30.1477960226503,35.2283339196513,-5.08053789700107,14.5537881156002,22.2339184862059,20.5223457488047,23.4253831852545,26.5529891691011,27.7591140868902,26.9318562194818,26.3767327236096
