Freq.,TX,RX,Loc Type,TR Sep,PL,Mean Dir DS,Omni DS,Mean Lobe ASA,Omni ASA,Mean Lobe ASD,Omni ASD,Mean Lobe ZSA,Omni ZSA,Mean Lobe ZSD,Omni ZSD
142 GHz,TX1,RX1,LOS,24.43,102.638833315253,50.8465792520663,15.7157945430355,2.2979407466636,21.2027475774185,2.75871611619607,20.1264183017582,3.06369939601049,5.43263658146136,3.19306055238894,3.34161733258952
,,RX5,LOS,27.22,102.141585146539,0.0355102592630813,6.09835170103864,2.48883745212164,2.48883745212164,2.47915965125502,4.36022947322487,3.31787850347805,6.62788986283275,3.3049722868925,3.41543325353394
,,RX9,NLOS,32.65,126.495989292562,9.00597395723596,19.1323840853331,3.94917602759616,68.7801806033598,2.54561432261505,2.54561432261505,3.6580449753899,6.2705355371728,3.39359667913791,3.39359667913791
,,RX14,NLOS,45.95,129.808204363597,4.40296935375117,13.1434170658733,5.30235059122258,55.027848254377,2.47530854074504,2.47530854074504,3.07999343362152,5.30169222956744,3.29983650049153,3.29983650049153
,,RX16,NLOS,49.4,126.950128700832,6.19036849830236,23.8737244988228,2.58095469018327,50.559827555975,2.58043654684879,3.10025033112689,4.89565019231413,6.98421948786897,3.4400368888646,3.4237101012716
,,RX18,NLOS,52.84,137.069436389916,0.820888536254152,56.4867764578577,3.22832873820042,40.2299697822099,2.44892978816806,2.44892978816806,2.66214862822983,2.63456130000146,3.26465840307898,3.26465840307898
,,RX23,LOS,43.34,110.835800783751,4.37322092387659,21.997939127625,2.9650608376058,51.726676413546,2.96887099656678,5.4687699033272,4.74666938477395,6.14204263842792,3.72198391307369,3.35699551613107
,,RX27,LOS,38.03,104.407280372534,2.78583243666743,9.26222297527281,2.45814826260301,2.45814826260301,2.57091126246376,2.78019010402569,5.14747245421376,7.18907175066087,3.42733354305927,3.42238792821082
,,RX31,LOS,36.09,105.059205772312,16.8194519817882,27.9442440556698,3.01087695393463,3.01087695393463,2.5522934116675,2.98461088404688,4.31887354311055,5.09080812233789,3.40250410299031,3.3998377282662
,TX2,RX1,LOS,83.6,112.048285407485,46.21367487526,31.3870580151346,2.45115972618228,2.45115972618228,2.51945049754552,6.40779735682649,5.12941973796945,6.53815061532866,3.35870411362515,3.35427190326619
,,RX14,NLOS,102.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,,RX35,LOS,59.31,109.245860407103,15.6941142870705,26.5265600811738,2.4846330243168,2.4846330243168,2.60248709779676,2.70433072027905,3.31227151464023,6.61666111618464,3.46944470435545,3.4
,,RX36,LOS,36.92,105.665050443648,1.83639484194667,21.3173287961019,3.26627983577715,3.26627983577715,4.72572805601141,6.53248371744092,5.12540241322862,6.63819817835821,2.31159127797405,2.65418660311894
,TX3,RX1,NLOS,72.88,130.637160583058,7.45488407675869,15.4695084852466,3.511677152821,12.0176523927087,5.31230059433623,5.31230059433623,1.76642235053794,1.70646310140537,1.79761394327576,1.79761394327576
,,RX35,LOS,74.8,116.783518327827,0.901093776760878,27.1664344646788,3.11507536441332,13.7070987198247,3.12667876979038,24.3509876721796,2.87522240774316,6.24916147583412,2.85372279494467,2.88448811999944
,,RX36,LOS,82.48,114.669616204173,0.531570114562334,7.64403441556786,2.45382935174455,2.45382935174455,2.49727803807059,2.49727803807059,3.27119231764627,6.53439886474746,3.32913482795959,3.76381422083596
,,RX37,LOS,96.4,120.619298684967,0.0565912668158186,11.9586627826052,2.80581477430337,2.80581477430337,2.46786774646473,2.46786774646473,2.15733754617237,4.98144812756142,3.28991358731963,3.28991358731963
,TX4,RX1,NLOS,117.43,129.968557929382,0.1,26.3726624461843,2.44892978815853,2.44892978815853,3.43473947282176,3.43473947282176,3.2646584030669,6.52131521755489,2.32621287628683,2.32621287628683
,,RX3,LOS,117.25,115.032287870517,12.4848056817582,16.9678446201476,3.9304253048517,3.9304253048517,2.40478376932395,2.74067662804865,0.744511780533716,3.71990533082887,3.20578718953312,3.16498709536958
,,RX37,LOS,44.31,106.820101315278,1.10066202866675,9.7824634085934,5.75071199294748,20.20668148751,3.84169543371179,20.9249000103768,2.56310008390808,5.15419046236701,2.66376506983885,2.5816544326892
,,RX38,NLOS,52.01,139.91537497352,0.1,0.1,3.43412368953039,3.43412368953039,3.4341236895306,3.4341236895306,2.42414095149944,2.42414095149944,2.42414095149929,2.42414095149929
,TX5,RX1,NLOS,61.45,115.429611456873,12.6126968372822,42.0265566206001,2.76910528741515,57.8181634117985,3.72101940542132,10.6634167703752,4.1165017940696,7.46768840631583,2.80670601297008,3.04376480742692
,,RX3,LOS,61.35,107.198401200598,1.49727920094855,14.7329862987608,2.45634406690795,2.45634406690795,2.47879575221734,2.54807035548634,3.27454587359784,6.54111416975657,3.30448699592028,3.29444377501526
,,RX10,NLOS,65.63,122.648049276166,2.04639221620676,36.1558671280158,3.47164407698159,3.47164407698159,3.5338372522905,17.4447210069489,2.44119843723456,5.18743293425537,2.48544940446045,2.36806317841548
,,RX35,LOS,85.64,109.657665001166,0.361824232857057,1.28817746509942,2.46381380752946,2.46381380752946,3.73747645094154,3.73747645094154,3.28450733886085,6.56106173562622,2.61516656668651,2.61516656668651
,TX6,RX1,LOS,39.08,105.584988260575,2.20185134500911,101.003254785006,2.99082515896868,2.99082515896868,3.73027027261328,11.4382021282404,3.78646063996559,5.41100714997389,1.16721546346684,1.13744881398742
,,RX39,NLOS,48.65,114.744850126146,1.7207675238922,23.8953023379263,3.43486264338063,61.8248348205971,4.15402342905336,31.9821900788294,2.99890289155385,6.03404243437353,1.8074698827725,1.72707758313225
,,RX40,NLOS,53.02,121.685216679221,1.85359854749373,29.8032633236379,3.42653458278227,34.0207917901402,3.32742252270239,19.775462706614,3.75216692757676,5.40417722883189,2.18139068975142,2.10022065166506
,,,LOS,NaN,NaN,5.7568775854602,18.3568051842195,2.91042227733082,5.82922380908618,2.93008981656356,6.17160578201669,3.39779176772948,5.92741444462009,3.00136914695017,3.03055977648328
,,,NLOS,NaN,NaN,3.51145601657812,30.228203902184,3.3757290815432,30.4644170610899,3.31052016877395,7.29018959866121,3.12939950250592,4.88215563632857,2.6221624470286,2.6130661622437
