Freq.,TX,RX,Loc Type,TR Sep,PL,PL_X,Mean Dir DS,Omni DS,Mean Lobe ASA,Omni ASA,Mean Lobe ASD,Omni ASD,Mean Lobe ZSA,Omni ZSA,Mean Lobe ZSD,Omni ZSD
6.75 GHz,TX1,RX1,LOS,40,74.63,84.77,41.0813509982307,29.7709035566363,23.476171856298,23.476171856298,19.2534056444305,24.6180212929314,9.00596559834841,12.180772351499,2.7974848813208,8.62188189503729
,,RX2,LOS,100,82.85,106.73,46.4794748531597,62.4827363423083,14.4855088784111,14.4855088784111,13.9319625337038,22.2998858746143,18.22211299085,18.22211299085,1.69019088253983,8.45329668360593
,,RX3,LOS,193,86.89,104.62,23.5491011442145,112.053785813126,6.35458547763168,6.35458547763168,6.31290831318054,65.1463284072789,6.35458547763168,19.7946615854682,2.70142812068967,12.8801912594096
,,RX4,NLOS,560,110.03,136.58,2.2278632099801,65.1284726617771,10.7258988645426,10.7258988645426,12.9330772893281,22.0448279993313,4.39246639861846,15.3763903413998,2.28045504881997,9.53641708596305
,,RX5,NLOS,880,124.79,NaN,0,0.855770985240712,5.76937182839628,5.76937182839628,5.82722826656973,5.82722826656973,5.76937182839628,13.0631175650501,5.82722826656973,5.82722826656973
,,RX6,NLOS,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,,RX7,LOS,424,100.2,121.8,37.4707621836759,184.092746323797,10.3774009115333,10.3774009115333,10.4946388206657,81.5500258367097,4.13024537796066,15.3987000891756,7.42459072131939,13.3275881444239
,TX2,RX1,LOS,58,80.74,95.28,25.1586724355041,19.7733802733525,18.8464203558424,63.0301573318661,21.8703556876389,24.0213641846584,21.5230529936422,20.7559067147584,3.32180975274975,9.75222642707693
,,RX2,NLOS,51.5,88.93,107.32,34.645896563399,96.213100787867,13.5881296783806,68.7071156043198,18.8633618510419,35.5424604556187,17.4181391841757,16.5407082482582,3.25728502038127,9.75109180219047
,,RX3,NLOS,100.88,101.2,125.5,71.3504353666631,102.261276553858,18.373356179951,18.373356179951,18.0790329750032,65.8520594985692,2.61819048522187,14.2639637132071,5.59788846067277,13.8571368049773
,TX3,RX1,NLOS,71,100.99,117.72,60.3835469632823,174.773739130505,34.0354851220833,34.0354851220833,34.4388721870963,36.4438273916393,11.7116114537628,11.7116114537628,7.82905358837156,7.79068821889408
,,RX2,NLOS,45,88.92,109.24,47.5450288274303,53.2233353787307,23.7880308860294,23.7880308860294,39.8222595133084,47.8171479096163,9.65033016467733,12.8815848785572,8.82862619390199,8.5689031857348
,,RX3,NLOS,125,100.62,125.26,24.5900631069231,87.2220656281369,18.3225846430437,55.6600979684641,33.3909316586675,37.1213744109712,9.9204453718373,15.9342388537034,10.0479757049909,9.77103517384621
,TX4,RX1,NLOS,88.7,97.7,117.1,35.3548097432794,48.6519473555483,16.1168109705464,16.1168109705464,69.2403743334009,70.2490567549612,2.26603007537542,13.8226107042694,7.77045459587215,8.07033404628503
,,RX2,LOS,120,87.25,110.19,70.2942243161,22.7476778618888,10.4738663102793,10.4738663102793,10.6257372431041,13.4373408956347,4.34307215854336,14.8402248709251,4.35108998566332,11.4102435534209
,,RX3,NLOS,216,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,,RX4,NLOS,185,124.5,NaN,30.9937558827959,33.0047860869347,12.610814710339,12.610814710339,16.5166200072764,16.5166200072764,4.48403296863914,4.48403296863914,3.15930279627669,3.15930279627669
,TX5,RX1,LOS,52,81.98,102.76,35.0515057613588,27.1949709514732,10.8255491075141,10.8255491075141,11.1600070769287,19.13831400887,4.323354219899,15.4815061366248,4.41505225036531,10.5310901406928
,,RX2,NLOS,170,101.5,125.05,31.4595422152908,47.4990694234501,24.2287331359969,24.2287331359969,10.5000390896375,32.6182534207114,3.75216692757676,12.5515909322071,4.2172854459052,12.1200694061868
,,RX3,NLOS,141,106.3,129.88,39.9878510945714,89.7882647108783,46.5190465946912,46.5190465946912,21.9924956523282,75.8365472180259,2.28800723011921,10.0750429988296,7.07426259671445,10.6968961598689
