Band,Dataset,LocType,n_links,PLE,sigma_SF_dB,PLE_CFI_width,DS_mean,DS_CFI_width,DS_n,ASA_mean,ASA_CFI_width,ASA_n,ASD_mean,ASD_CFI_width,ASD_n
Sub-THz,NYU only,LOS,16,1.95,2.76,0.16,16.28,8.83,15,6.16,8.76,16,5.07,5.12,16
Sub-THz,NYU only,NLOS,11,2.88,8.38,0.56,28.63,15.56,10,43.16,36.36,11,8.72,10.73,11
Sub-THz,USC only,LOS,13,1.89,0.86,0.05,24.05,26,13,15.65,7.04,13,10.97,1.72,13
Sub-THz,USC only,NLOS,13,2.71,5.95,0.36,31.35,25.99,13,30.71,21.38,13,21.4,10.86,13
Sub-THz,Pooled,LOS,29,1.92,2.19,0.1,19.57,12.04,28,10.96,8.08,29,7.97,3.93,29
Sub-THz,Pooled,NLOS,24,2.79,7.33,0.34,30.47,15.59,23,35.98,19.55,24,16.29,9.97,24
6.75 GHz,NYU only,LOS,7,1.79,2.57,0.19,70.7,81.83,7,24.57,22.32,7,33.89,35.21,7
6.75 GHz,NYU only,NLOS,11,2.56,6.51,0.38,101.52,41.29,10,32.68,21.27,11,42.22,34.07,11
6.75 GHz,USC only,LOS,6,1.91,1.48,0.12,19.9,13.55,3,10.27,12.53,6,5.86,1.61,6
6.75 GHz,USC only,NLOS,11,2.69,7.25,0.37,21.64,86.66,8,12.36,8.92,11,12.17,5.79,11
6.75 GHz,Pooled,LOS,13,1.85,2.44,0.13,55.02,70.45,10,18.39,16.33,13,20.78,26.55,13
6.75 GHz,Pooled,NLOS,22,2.63,7.04,0.27,111.59,103.35,18,22.43,15.49,22,26.4,21.35,22
