Freq_,TX,RX,LocType,TRSep,OmniPL__NYUThres,OmniPL__USCThres,OmniPL__USCOrig__U1_,OmniDS__NYUThres,OmniDS__USCThres,OmniDS__USCOrig__U1_,OmniASA__NYUThres,OmniASA__USCThres,OmniASA__USCOrig__U1_,OmniASD__NYUThres,OmniASD__USCThres,OmniASD__USCOrig__U1_
6.75 GHz,TX1,RX1,LOS,184.8,93.0384866019396,93.0190742501665,92.003075235921,0.680850299997277,3.34687690218834,3.41620469437462,9.25,5.52,5.52,8.92,5.16,5.16
,,RX2,LOS,161.7,89.8341167074001,89.5529394406584,88.9463594778399,0.796532270662712,18.6424028612924,25.4212042532521,9.37,27.15,27.15,9.23,5.35,5.35
,,RX3,LOS,132.6,92.0948205219478,92.0729962683405,92.0165000810518,0.707545021977933,2.22818974257311,2.51608352403677,9.81,3.88,3.88,9.61,4.73,4.73
,,RX4,LOS,83.4,85.9398238986576,85.9209635763858,86.7084982710482,0.700270930355084,1.95223037112364,2.29315048111215,9.11,5.12,5.12,9.83,5.79,5.79
,,RX5,LOS,63.6,80.9721536138173,80.825461399757,83.3380285812545,0.670067819913657,7.67311298154458,13.2192871110548,11.59,9.32,9.32,9.4,7.95,7.95
,,RX6,LOS,59.4,82.9973042418033,82.9767321761397,83.0635855369216,18.3835103282146,18.4578316292712,27.0592950494979,16,11.92,11.92,9.59,6.21,6.21
,,RX1,OLOS,65.1,76.108380792427,75.9417202117953,80.6205826782517,0.996322424472548,4.00781513785686,4.6868387660092,13.05,10.82,10.82,13.34,12.36,12.36
,,RX2,OLOS,62.1,87.4652954204584,87.084499924305,91.1721953537352,2.25772673506975,10.7363804057774,12.5361263793386,12.37,10.78,10.78,28.01,25.01,25.01
,,RX3,OLOS,103.5,93.4947940232388,93.3165773921941,98.0917050075159,5.39616428532062,9.53158150080334,13.4539057420189,15.86,13.93,13.93,16.91,15.67,15.67
,,RX4,OLOS,139.1,94.8532612002197,94.7973040249361,98.9334889340572,2.48216468584805,5.25697848185254,6.27982614585811,13.01,10.26,10.26,12.49,10.81,10.81
,,RX5,OLOS,143.6,105.462424878086,104.987054542504,109.189064700889,128.709055316997,140.506733561901,145.66241666584,36.46,35.39,35.39,14.66,13.94,13.94
,,RX6,OLOS,162.8,102.795371151028,102.368490660171,105.621561712928,36.6984969479441,60.2729501210579,66.7329199087764,12.49,11.38,11.38,11.66,10.22,10.22
,,RX7,OLOS,201.4,115.166447732541,114.97877157255,118.43382947567,37.7587403500219,49.188392424864,42.1730948107679,16.94,17.67,17.67,16.13,14.1,14.1
,,RX8,OLOS,214.9,103.362582622075,103.303998513321,105.156894110846,7.65077880486087,9.53574169371818,12.5178715583259,10.83,7.52,7.52,9.36,7.2,7.2
,,RX9,OLOS,336.3,111.358968580172,111.320503711799,114.552743464192,1.32412253034312,9.54567452462365,11.4281999792763,11.47,8.54,8.54,11.37,8.79,8.79
,,RX10,OLOS,404.9,125.053278630094,124.998646611927,125.354160987312,2.81283067902969,7.06221973577813,7.88749737173,10.3,5.95,5.95,10.67,7.87,7.87
,,RX11,OLOS,436.1,125.968030083838,125.921364796057,126.863962613683,4.92842830345928,10.0159581406153,12.1267437395134,10.36,6.37,6.37,11.33,8.5,8.5
