Freq_,TX,RX,LocType,TRSep,OmniPL__USCThres,OmniPL__NYUThres,OmniPL__NYUOrig__N1_,OmniDS__USCThres,OmniDS__NYUThres,OmniDS__NYUOrig__N1_,OmniASA__USCThres,OmniASA__NYUThres,OmniASA__NYUOrig__N1_,OmniASD__USCThres,OmniASD__NYUThres,OmniASD__NYUOrig__N1_
142 GHz,TX1,RX1,LOS,24.43,103.3015,103.365815193022,102.638833315253,5.67954731696836,0.853436216586171,13.9882115793548,9.26,3.26,3.26,8.25,3.26,3.26
,,RX5,LOS,27.22,102.6788,102.618440808765,102.141585146539,0.887105691626977,0.903040618642867,0.864858213763812,10.26,3.26,3.26,1.96,3.26,3.26
,,RX9,NLOS,32.65,112.2075,127.623745575164,126.495989292562,84.3678817362303,12.5672537280377,16.6190032678546,67.02,70.85,70.85,0,3.26,3.26
,,RX14,NLOS,45.95,104.8438,131.007138172925,129.808204363597,75.5947599180942,12.2557627939194,13.0403813958827,51.76,54.87,54.87,0,3.26,3.26
,,RX16,NLOS,49.4,105.7335,127.544532715833,126.950128700832,70.48278293114,24.0372910333872,23.2806692929644,42.71,50.27,50.27,1.81,3.26,3.26
,,RX18,NLOS,52.84,112.8559,138.612889953472,137.069436389916,149.668779471205,53.0581117418056,56.4838705401877,41.29,41.8,41.8,8.08,9.1,9.1
,,RX23,LOS,43.34,110.0805,112.347718144089,110.835800783751,96.177362048227,22.4578604286789,20.8743548778678,48.82,52.03,52.03,5.2,5.41,5.41
,,RX27,LOS,38.03,106.5197,104.86938541782,104.407280372534,6.73330240590593,0.744371289650328,0.801942844157287,5.23,3.26,3.26,0.61,3.26,3.26
,,RX31,LOS,36.09,118.489,105.780356327024,105.059205772312,92.7587681878424,6.22641907869362,12.3967437889213,9.14,3.26,3.26,3.94,3.26,3.26
,TX2,RX1,LOS,83.6,115.9758,113.00213492235,112.048285407485,60.6397542302689,131.119634702618,6.9997821443576,1.01,3.26,3.26,7.65,3.26,3.26
,,RX14,NLOS,102.7,Outage,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,,RX35,LOS,59.31,121.3968,110.515136921376,109.245860407103,13.3732925126948,5.32297543306555,5.37075671539116,23.72,3.26,3.26,6.5,3.26,3.26
,,RX36,LOS,36.92,116.2134,106.618621278387,105.665050443648,54.1420341799513,5.95580080131159,11.9597345851095,11.81,3.26,3.26,4.04,3.26,3.26
,TX3,RX1,NLOS,72.88,108.3082,133.400970553384,130.637160583058,7.07395989144194,15.9686642950186,16.2289137718248,11.8,10.89,10.89,5.49,6.68,6.68
,,RX35,LOS,74.8,108.3978,118.507044544662,116.783518327827,90.3697377336297,29.4509672570088,26.1810044232462,12.3,13.48,13.48,21.56,25.11,25.11
,,RX36,LOS,82.48,111.9412,116.015459544844,114.669616204173,45.2988656569671,0.728224861967817,0.728687548184148,6.53,3.26,3.26,2.7,3.26,3.26
,,RX37,LOS,96.4,107.344,121.469078494858,120.619298684967,0.858385967884338,0.950467900646607,0.877247054876527,10.21,3.96,3.96,1.86,3.26,3.26
,TX4,RX1,NLOS,117.43,127.2142,130.93259555311,129.968557929382,19.5003234083295,0.707922050616729,0.695070472981382,18.88,3.26,3.26,2.92,4.42,4.42
,,RX3,LOS,117.25,130.8953,116.249784447813,115.032287870517,12.2704390014645,1.02282414560122,1.01937206419663,7.9,4.99,4.99,2.4,3.26,3.26
,,RX37,LOS,44.31,127.4502,108.351404903408,106.820101315278,24.2509272823452,6.31209312954043,9.71525067762891,10.08,714,7.14,12.91,13.42,13.42
,,RX38,NLOS,52.01,138.4548,141.117291102672,139.91537497352,53.1855001935885,0.582030502847241,0.550756012825778,3.39,4.96,4.96,3.39,4.96,4.96
,TX5,RX1,NLOS,61.45,133.363,117.056783903922,115.429611456873,15.9993892834998,39.8127976155606,38.2136599640269,49.65,57.48,57.48,10.41,10.09,10.09
,,RX3,LOS,61.35,130.723,108.447541242252,107.198401200598,30.6848956168062,6.97144058887532,0.809230033096765,10.16,3.26,3.26,7.97,3.26,3.26
,,RX10,NLOS,65.63,140.832,127.217515921121,122.648049276166,0.638332653215,0.824792831355912,0.792020227718451,33.1,5.18,5.18,17.65,19.43,19.43
,,RX35,LOS,85.64,116.7546,111.936552254142,109.657665001166,57.7091726103711,0.770577022122943,0.886846027117775,3.29,3.26,3.26,2.83,3.26,3.26
,TX6,RX1,LOS,39.08,125.8794,107.331725004988,105.584988260575,45.6604492280968,12.530336790432,105.319268489712,6.83,4.68,4.68,4.41,4.85,4.85
,,RX39,NLOS,48.65,117.0851,117.179897221904,114.744850126146,49.5654842589371,22.8699118746382,22.5915077630794,62.7,61.45,61.45,31.12,31.83,31.83
,,RX40,NLOS,53.02,123.7029,123.936734936614,121.685216679221,34.0787777926185,16.1907832296544,13.6603744679624,29.66,34.88,34.88,22.12,3.97,3.97
