Band,Metric,Variant,Paper,Python,MATLAB,PyStatus,MLStatus
Sub-THz,PL [dB],USC_data_NYU_thres,3.3900,3.3860,3.3864,TIGHT,TIGHT
Sub-THz,PL [dB],USC_data_USC_thres,3.0100,3.0080,3.0075,TIGHT,TIGHT
Sub-THz,PL [dB],NYU_data_USC_thres,14.2400,13.9750,14.1961,TIGHT,TIGHT
Sub-THz,PL [dB],NYU_data_NYU_thres,1.5000,1.4720,1.6813,TIGHT,CLOSE
Sub-THz,DS [ns],USC_data_NYU_thres,61.6300,61.3550,61.3551,TIGHT,TIGHT
Sub-THz,DS [ns],USC_data_USC_thres,4.7100,4.7070,4.7068,TIGHT,TIGHT
Sub-THz,DS [ns],NYU_data_USC_thres,46.1300,45.2720,45.2724,TIGHT,TIGHT
Sub-THz,DS [ns],NYU_data_NYU_thres,18.6000,18.2490,18.5614,TIGHT,TIGHT
Sub-THz,ASA [deg],USC_data_NYU_thres,6.1200,6.1190,6.1187,TIGHT,TIGHT
Sub-THz,ASA [deg],USC_data_USC_thres,0.0000,0.0000,0.0000,TIGHT,TIGHT
Sub-THz,ASA [deg],NYU_data_USC_thres,8.6200,8.4980,8.4977,TIGHT,TIGHT
Sub-THz,ASA [deg],NYU_data_NYU_thres,0.0000,0.0000,0.0000,TIGHT,TIGHT
Sub-THz,ASD [deg],USC_data_NYU_thres,2.0100,2.0120,2.0119,TIGHT,TIGHT
Sub-THz,ASD [deg],USC_data_USC_thres,0.0000,0.0020,0.0020,TIGHT,TIGHT
Sub-THz,ASD [deg],NYU_data_USC_thres,4.1600,4.1570,4.1574,TIGHT,TIGHT
Sub-THz,ASD [deg],NYU_data_NYU_thres,0.0000,0.0000,0.0000,TIGHT,TIGHT
6.75 GHz,PL [dB],USC_data_NYU_thres,6.2000,2.7310,2.7311,MISS,MISS
6.75 GHz,PL [dB],USC_data_USC_thres,6.1900,2.8890,2.8894,MISS,MISS
6.75 GHz,PL [dB],NYU_data_USC_thres,3.3000,3.6820,3.6819,CLOSE,CLOSE
6.75 GHz,PL [dB],NYU_data_NYU_thres,3.6800,3.2530,3.2529,CLOSE,CLOSE
6.75 GHz,DS [ns],USC_data_NYU_thres,39.4700,12.0380,12.0376,MISS,MISS
6.75 GHz,DS [ns],USC_data_USC_thres,7.2100,4.2440,4.2436,MISS,MISS
6.75 GHz,DS [ns],NYU_data_USC_thres,28.1700,32.5420,32.5424,CLOSE,CLOSE
6.75 GHz,DS [ns],NYU_data_NYU_thres,14.7900,14.7230,14.7228,TIGHT,TIGHT
6.75 GHz,ASA [deg],USC_data_NYU_thres,7.4400,5.3080,5.3082,CLOSE,CLOSE
6.75 GHz,ASA [deg],USC_data_USC_thres,0.0000,0.0000,0.0000,TIGHT,TIGHT
6.75 GHz,ASA [deg],NYU_data_USC_thres,17.5200,20.8510,20.8514,CLOSE,CLOSE
6.75 GHz,ASA [deg],NYU_data_NYU_thres,0.0000,0.0000,0.0000,TIGHT,TIGHT
6.75 GHz,ASD [deg],USC_data_NYU_thres,3.7800,2.7770,2.7766,CLOSE,CLOSE
6.75 GHz,ASD [deg],USC_data_USC_thres,0.0000,0.0000,0.0000,TIGHT,TIGHT
6.75 GHz,ASD [deg],NYU_data_USC_thres,38.0600,40.1370,40.1370,CLOSE,CLOSE
6.75 GHz,ASD [deg],NYU_data_NYU_thres,0.0000,0.0000,0.0000,TIGHT,TIGHT
