Band,Dataset,LocType,Metric,Paper,Python,MATLAB,PyStatus,MLStatus
Sub-THz (142/145.5),NYU only,LOS,PLE,1.9600,1.9580,1.9580,TIGHT,TIGHT
Sub-THz (142/145.5),NYU only,LOS,sigma_SF_dB,2.6300,2.6330,2.6330,TIGHT,TIGHT
Sub-THz (142/145.5),NYU only,LOS,PLE_CFI_width,0.1600,0.1569,0.1538,TIGHT,TIGHT
Sub-THz (142/145.5),NYU only,LOS,DS_mean_ns,15.7700,14.5432,14.5432,CLOSE,CLOSE
Sub-THz (142/145.5),NYU only,LOS,DS_CFI_width_ns,34.6200,32.7383,31.9873,TIGHT,TIGHT
Sub-THz (142/145.5),NYU only,LOS,ASA_mean_d,6.2700,6.1609,6.1609,TIGHT,TIGHT
Sub-THz (142/145.5),NYU only,LOS,ASA_CFI_width_d,9.3500,8.1576,8.8763,TIGHT,TIGHT
Sub-THz (142/145.5),NYU only,LOS,ASD_mean_d,5.1300,5.0720,5.0720,TIGHT,TIGHT
Sub-THz (142/145.5),NYU only,LOS,ASD_CFI_width_d,4.5700,4.6913,4.5694,TIGHT,TIGHT
Sub-THz (142/145.5),NYU only,NLOS,PLE,2.9200,2.9186,2.9186,TIGHT,TIGHT
Sub-THz (142/145.5),NYU only,NLOS,sigma_SF_dB,8.2800,8.2839,8.2839,TIGHT,TIGHT
Sub-THz (142/145.5),NYU only,NLOS,PLE_CFI_width,0.5400,0.5534,0.5513,TIGHT,TIGHT
Sub-THz (142/145.5),NYU only,NLOS,DS_mean_ns,35.2700,30.9899,30.9899,CLOSE,CLOSE
Sub-THz (142/145.5),NYU only,NLOS,DS_CFI_width_ns,41.7700,34.7166,36.5789,CLOSE,TIGHT
Sub-THz (142/145.5),NYU only,NLOS,ASA_mean_d,45.9700,43.1489,43.1489,CLOSE,CLOSE
Sub-THz (142/145.5),NYU only,NLOS,ASA_CFI_width_d,36.4500,35.9376,36.4522,TIGHT,TIGHT
Sub-THz (142/145.5),NYU only,NLOS,ASD_mean_d,8.9500,8.7161,8.7161,CLOSE,CLOSE
Sub-THz (142/145.5),NYU only,NLOS,ASD_CFI_width_d,10.6600,10.3573,10.0003,TIGHT,TIGHT
Sub-THz (142/145.5),USC only,LOS,PLE,1.9000,1.8894,1.8894,TIGHT,TIGHT
Sub-THz (142/145.5),USC only,LOS,sigma_SF_dB,0.8600,0.8575,0.8575,TIGHT,TIGHT
Sub-THz (142/145.5),USC only,LOS,PLE_CFI_width,0.0500,0.0527,0.0520,TIGHT,TIGHT
Sub-THz (142/145.5),USC only,LOS,DS_mean_ns,26.5700,25.6468,25.6468,CLOSE,CLOSE
Sub-THz (142/145.5),USC only,LOS,DS_CFI_width_ns,26.7700,25.3750,25.8326,TIGHT,TIGHT
Sub-THz (142/145.5),USC only,LOS,ASA_mean_d,15.7400,15.6530,15.6530,TIGHT,TIGHT
Sub-THz (142/145.5),USC only,LOS,ASA_CFI_width_d,6.5400,7.1760,7.4121,TIGHT,TIGHT
Sub-THz (142/145.5),USC only,LOS,ASD_mean_d,10.9800,10.9669,10.9669,TIGHT,TIGHT
Sub-THz (142/145.5),USC only,LOS,ASD_CFI_width_d,1.7300,1.7192,1.7615,TIGHT,TIGHT
Sub-THz (142/145.5),USC only,NLOS,PLE,2.8400,2.8229,2.8229,TIGHT,TIGHT
Sub-THz (142/145.5),USC only,NLOS,sigma_SF_dB,6.0000,6.0029,6.0029,TIGHT,TIGHT
