Freq.,TX,RX,Loc Type,TR Sep,PL,Mean Dir DS,Omni DS,Mean Lobe ASA,Omni ASA,Mean Lobe ASD,Omni ASD,Mean Lobe ZSA,Omni ZSA,Mean Lobe ZSD,Omni ZSD
142 GHz,TX1,RX1,LOS,24.430,102.638833315253,50.847,15.716,2.298,21.203,2.759,20.126,3.064,5.433,3.193,3.342
,TX1,RX5,LOS,27.220,102.141585146539,0.036,6.098,2.489,2.489,2.479,4.360,3.318,6.628,3.305,3.415
,TX1,RX9,NLOS,32.650,126.495989292562,9.006,19.132,3.949,68.780,2.546,2.546,3.658,6.271,3.394,3.394
,TX1,RX14,NLOS,45.950,129.808204363597,4.403,13.143,5.302,55.028,2.475,2.475,3.080,5.302,3.300,3.300
,TX1,RX16,NLOS,49.400,126.950128700832,6.190,23.874,2.581,50.560,2.580,3.100,4.896,6.984,3.440,3.424
,TX1,RX18,NLOS,52.840,137.069436389916,0.821,56.487,3.228,40.230,2.449,2.449,2.662,2.635,3.265,3.265
,TX1,RX23,LOS,43.340,110.835800783751,4.373,21.998,2.965,51.727,2.969,5.469,4.747,6.142,3.722,3.357
,TX1,RX27,LOS,38.030,104.407280372534,2.786,9.262,2.458,2.458,2.571,2.780,5.147,7.189,3.427,3.422
,TX1,RX31,LOS,36.090,105.059205772312,16.819,27.944,3.011,3.011,2.552,2.985,4.319,5.091,3.403,3.400
,TX2,RX1,LOS,83.600,112.048285407485,46.214,31.387,2.451,2.451,2.519,6.408,5.129,6.538,3.359,3.354
,TX2,RX35,LOS,59.310,109.245860407103,15.694,26.527,2.485,2.485,2.602,2.704,3.312,6.617,3.469,3.400
,TX2,RX36,LOS,36.920,105.665050443648,1.836,21.317,3.266,3.266,4.726,6.532,5.125,6.638,2.312,2.654
,TX3,RX1,NLOS,72.880,130.637160583058,7.455,15.470,3.512,12.018,5.312,5.312,1.766,1.706,1.798,1.798
,TX3,RX35,LOS,74.800,116.783518327827,0.901,27.166,3.115,13.707,3.127,24.351,2.875,6.249,2.854,2.884
,TX3,RX36,LOS,82.480,114.669616204173,0.532,7.644,2.454,2.454,2.497,2.497,3.271,6.534,3.329,3.764
,TX3,RX37,LOS,96.400,120.619298684967,0.057,11.959,2.806,2.806,2.468,2.468,2.157,4.981,3.290,3.290
,TX4,RX1,NLOS,117.430,129.968557929382,0.100,26.373,2.449,2.449,3.435,3.435,3.265,6.521,2.326,2.326
,TX4,RX3,LOS,117.250,115.032287870517,12.485,16.968,3.930,3.930,2.405,2.741,0.745,3.720,3.206,3.165
,TX4,RX37,LOS,44.310,106.820101315278,1.101,9.782,5.751,20.207,3.842,20.925,2.563,5.154,2.664,2.582
,TX4,RX38,NLOS,52.010,139.91537497352,0.100,0.100,3.434,3.434,3.434,3.434,2.424,2.424,2.424,2.424
,TX5,RX1,NLOS,61.450,115.429611456873,12.613,42.027,2.769,57.818,3.721,10.663,4.117,7.468,2.807,3.044
,TX5,RX3,LOS,61.350,107.198401200598,1.497,14.733,2.456,2.456,2.479,2.548,3.275,6.541,3.304,3.294
,TX5,RX10,NLOS,65.630,122.648049276166,2.046,36.156,3.472,3.472,3.534,17.445,2.441,5.187,2.485,2.368
,TX5,RX35,LOS,85.640,109.657665001166,0.362,1.288,2.464,2.464,3.737,3.737,3.285,6.561,2.615,2.615
,TX6,RX1,LOS,39.080,105.584988260575,2.202,101.003,2.991,2.991,3.730,11.438,3.786,5.411,1.167,1.137
,TX6,RX39,NLOS,48.650,114.744850126146,1.721,23.895,3.435,61.825,4.154,31.982,2.999,6.034,1.807,1.727
,TX6,RX40,NLOS,53.020,121.685216679221,1.854,29.803,3.427,34.021,3.327,19.775,3.752,5.404,2.181,2.100
