Band,Dataset,LocType,n_links,PLE,sigma_SF_dB,PLE_CFI_width,DS_mean,DS_CFI_width,DS_n,ASA_mean,ASA_CFI_width,ASA_n,ASD_mean,ASD_CFI_width,ASD_n
Sub-THz,NYU only,LOS,16,1.95,2.76,0.17,16.28,9.04,15,6.16,8.61,16,5.07,4.77,16
Sub-THz,NYU only,NLOS,11,2.88,8.38,0.55,28.63,15.7,10,43.16,36.2,11,8.72,10.09,11
Sub-THz,USC only,LOS,13,1.89,0.86,0.05,24.05,25.1,13,15.65,7.17,13,10.97,1.72,13
Sub-THz,USC only,NLOS,13,2.71,5.95,0.38,31.35,26.07,13,30.71,20.58,13,21.4,11.32,13
Sub-THz,Pooled,LOS,29,1.92,2.19,0.1,19.57,11.95,28,10.96,8.17,29,7.97,3.86,29
Sub-THz,Pooled,NLOS,24,2.79,7.33,0.33,30.47,15.14,23,35.98,19.82,24,16.29,9.96,24
6.75 GHz,NYU only,LOS,7,1.79,2.57,0.19,70.7,82.06,7,24.57,22.73,7,33.89,34.15,7
6.75 GHz,NYU only,NLOS,11,2.56,6.51,0.37,101.52,41.66,10,32.68,21.01,11,42.22,33.59,11
6.75 GHz,USC only,LOS,6,1.91,1.48,0.12,19.9,13.55,3,10.27,12.9,6,5.86,1.61,6
6.75 GHz,USC only,NLOS,11,2.69,7.25,0.36,21.64,81.44,8,12.36,9.08,11,12.17,5.54,11
6.75 GHz,Pooled,LOS,13,1.85,2.44,0.14,55.02,65.75,10,18.39,16.25,13,20.78,25.81,13
6.75 GHz,Pooled,NLOS,22,2.63,7.04,0.28,111.59,101.45,18,22.43,15.07,22,26.4,21.08,22
