Band,Dataset,LocType,n,PLE,sigma_SF_dB,PLE_CFI_width,DS_mean_ns,DS_CFI_width_ns,ASA_mean_d,ASA_CFI_width_d,ASD_mean_d,ASD_CFI_width_d
Sub-THz (142/145.5),NYU only,LOS,16,1.9580,2.6330,0.1569,14.5432,32.7383,6.1609,8.1576,5.0720,4.6913
Sub-THz (142/145.5),NYU only,NLOS,11,2.9186,8.2839,0.5534,30.9899,34.7166,43.1489,35.9376,8.7161,10.3573
Sub-THz (142/145.5),USC only,LOS,13,1.8894,0.8575,0.0527,25.6468,25.3750,15.6530,7.1760,10.9669,1.7192
Sub-THz (142/145.5),USC only,NLOS,13,2.8229,6.0029,0.3814,30.6240,25.5303,30.7052,20.5802,21.3978,11.3215
Sub-THz (142/145.5),Pooled,LOS,29,1.9277,2.0957,0.0977,23.5553,26.4689,10.9565,7.8192,7.9753,3.9755
Sub-THz (142/145.5),Pooled,NLOS,24,2.8698,7.1741,0.3188,33.3386,24.9493,35.9740,19.3744,16.2843,10.2881
6.75 GHz,NYU only,LOS,6,1.8101,2.6128,0.2105,63.7562,106.8462,25.2030,27.1352,36.6988,39.4617
6.75 GHz,NYU only,NLOS,12,2.5018,7.9057,0.4352,112.6883,131.6591,31.6086,20.6190,40.0407,31.1778
6.75 GHz,USC only,LOS,6,1.9154,1.4244,0.1179,13.0942,19.1173,10.2642,12.8980,5.8630,1.6114
6.75 GHz,USC only,NLOS,11,2.6157,7.3326,0.3654,27.5798,51.6514,12.3597,9.0795,12.1684,5.5362
6.75 GHz,Pooled,LOS,12,1.8622,2.3610,0.1326,42.8178,76.3693,18.0416,18.2727,20.8440,28.3416
6.75 GHz,Pooled,NLOS,23,2.5584,7.7396,0.2834,66.4307,66.3845,22.3872,14.0114,26.0271,20.4988
