tx,rx,loc_type,d_m,pl_db__U3_nyu_thr,omni_ds_ns__U3_nyu_thr,omni_asa_d__U3_nyu_thr,omni_asd_d__U3_nyu_thr,pl_db__U3_usc_thr,omni_ds_ns__U3_usc_thr,omni_asa_d__U3_usc_thr,omni_asd_d__U3_usc_thr,pl_db__U1,omni_ds_ns__U1,omni_asa_d__U1,omni_asd_d__U1
TX1,RX1,LOS,184.800,93.038,0.681,9.250,8.920,93.019,3.347,5.520,5.160,92.003,3.416,5.520,5.160
TX1,RX2,LOS,161.700,89.834,0.797,9.370,9.230,89.553,18.642,27.150,5.350,88.946,25.421,27.150,5.350
TX1,RX3,LOS,132.600,92.095,0.708,9.810,9.610,92.073,2.228,3.880,4.730,92.017,2.516,3.880,4.730
TX1,RX4,LOS,83.400,85.940,0.700,9.110,9.830,85.921,1.952,5.120,5.790,86.708,2.293,5.120,5.790
TX1,RX5,LOS,63.600,80.972,0.670,11.590,9.400,80.825,7.673,9.320,7.950,83.338,13.219,9.320,7.950
TX1,RX6,LOS,59.400,82.997,18.384,16.000,9.590,82.977,18.458,11.920,6.210,83.064,27.059,11.920,6.210
TX1,RX7,NLOS,201.400,115.166,37.759,16.940,16.130,114.979,49.188,17.670,14.100,118.434,42.173,17.670,14.100
TX1,RX8,NLOS,214.900,103.363,7.651,10.830,9.360,103.304,9.536,7.520,7.200,105.157,12.518,7.520,7.200
TX1,RX9,NLOS,336.300,111.359,1.324,11.470,11.370,111.321,9.546,8.540,8.790,114.553,11.428,8.540,8.790
TX1,RX10,NLOS,404.900,125.053,2.813,10.300,10.670,124.999,7.062,5.950,7.870,125.354,7.887,5.950,7.870
TX1,RX11,NLOS,436.100,125.968,4.928,10.360,11.330,125.921,10.016,6.370,8.500,126.864,12.127,6.370,8.500
