Freq.,TX,RX,Loc Type,TR Sep,Omni PL__USC thres,Omni PL__NYU thres,Omni PL__NYU orig. (N1),Omni DS__USC thres,Omni DS__NYU thres,Omni DS__NYU orig. (N1),Omni ASA__USC thres,Omni ASA__NYU thres,Omni ASA__NYU orig. (N1),Omni ASD__USC thres,Omni ASD__NYU thres,Omni ASD__NYU orig. (N1)
142 GHz,TX1,RX1,LOS,24.430,103.301546771324,103.366,102.639,5.680,0.853,13.988,9.260,3.260,3.260,8.250,3.260,3.260
142 GHz,TX1,RX5,LOS,27.220,102.678768862451,102.618,102.142,0.887,0.903,0.865,10.260,3.260,3.260,1.960,3.260,3.260
142 GHz,TX1,RX9,NLOS,32.650,112.207496639433,127.624,126.496,84.368,12.567,16.619,67.020,70.850,70.850,0.000,3.260,3.260
142 GHz,TX1,RX14,NLOS,45.950,104.843796353737,131.007,129.808,75.595,12.256,13.040,51.760,54.870,54.870,0.000,3.260,3.260
142 GHz,TX1,RX16,NLOS,49.400,105.733479238877,127.545,126.950,70.483,24.037,23.281,42.710,50.270,50.270,1.810,3.260,3.260
142 GHz,TX1,RX18,NLOS,52.840,112.855916025352,138.613,137.069,149.669,53.058,56.484,41.290,41.800,41.800,8.080,9.100,9.100
142 GHz,TX1,RX23,LOS,43.340,110.080483375175,112.348,110.836,96.177,22.458,20.874,48.820,52.030,52.030,5.200,5.410,5.410
142 GHz,TX1,RX27,LOS,38.030,106.519720168088,104.869,104.407,6.733,0.744,0.802,5.230,3.260,3.260,0.610,3.260,3.260
142 GHz,TX1,RX31,LOS,36.090,118.48901605282,105.780,105.059,92.759,6.226,12.397,9.140,3.260,3.260,3.940,3.260,3.260
142 GHz,TX2,RX1,LOS,83.600,115.975816966833,113.002,112.048,60.640,131.120,7.000,1.010,3.260,3.260,7.650,3.260,3.260
142 GHz,TX2,RX14,NLOS,102.700,Outage,,,,,,,,,,,
142 GHz,TX2,RX35,LOS,59.310,121.396848924396,110.515,109.246,13.373,5.323,5.371,23.720,3.260,3.260,6.500,3.260,3.260
142 GHz,TX2,RX36,LOS,36.920,116.213415566529,106.619,105.665,54.142,5.956,11.960,11.810,3.260,3.260,4.040,3.260,3.260
142 GHz,TX3,RX1,NLOS,72.880,108.308215582765,133.401,130.637,7.074,15.969,16.229,11.800,10.890,10.890,5.490,6.680,6.680
142 GHz,TX3,RX35,LOS,74.800,108.397823537568,118.507,116.784,90.370,29.451,26.181,12.300,13.480,13.480,21.560,25.110,25.110
142 GHz,TX3,RX36,LOS,82.480,111.941248968871,116.015,114.670,45.299,0.728,0.729,6.530,3.260,3.260,2.700,3.260,3.260
142 GHz,TX3,RX37,LOS,96.400,107.343998739454,121.469,120.619,0.858,0.950,0.877,10.210,3.960,3.960,1.860,3.260,3.260
142 GHz,TX4,RX1,NLOS,117.430,127.214197875135,130.933,129.969,19.500,0.708,0.695,18.880,3.260,3.260,2.920,4.420,4.420
142 GHz,TX4,RX3,LOS,117.250,130.895331545699,116.250,115.032,12.270,1.023,1.019,7.900,4.990,4.990,2.400,3.260,3.260
142 GHz,TX4,RX37,LOS,44.310,127.450238295316,108.351,106.820,24.251,6.312,9.715,10.080,714.000,7.140,12.910,13.420,13.420
142 GHz,TX4,RX38,NLOS,52.010,138.454783036468,141.117,139.915,53.186,0.582,0.551,3.390,4.960,4.960,3.390,4.960,4.960
142 GHz,TX5,RX1,NLOS,61.450,133.362970258893,117.057,115.430,15.999,39.813,38.214,49.650,57.480,57.480,10.410,10.090,10.090
142 GHz,TX5,RX3,LOS,61.350,130.722990115359,108.448,107.198,30.685,6.971,0.809,10.160,3.260,3.260,7.970,3.260,3.260
142 GHz,TX5,RX10,NLOS,65.630,140.83199798751,127.218,122.648,0.638,0.825,0.792,33.100,5.180,5.180,17.650,19.430,19.430
142 GHz,TX5,RX35,LOS,85.640,116.754572019895,111.937,109.658,57.709,0.771,0.887,3.290,3.260,3.260,2.830,3.260,3.260
142 GHz,TX6,RX1,LOS,39.080,125.879402435007,107.332,105.585,45.660,12.530,105.319,6.830,4.680,4.680,4.410,4.850,4.850
142 GHz,TX6,RX39,NLOS,48.650,117.08507760364,117.180,114.745,49.565,22.870,22.592,62.700,61.450,61.450,31.120,31.830,31.830
142 GHz,TX6,RX40,NLOS,53.020,123.702897617723,123.937,121.685,34.079,16.191,13.660,29.660,34.880,34.880,22.120,3.970,3.970
