tx,rx,loc_type,d_m,pl_db__N3_usc_thr,omni_ds_ns__N3_usc_thr,omni_asa_d__N3_usc_thr,omni_asd_d__N3_usc_thr,pl_db__N3_nyu_thr,omni_ds_ns__N3_nyu_thr,omni_asa_d__N3_nyu_thr,omni_asd_d__N3_nyu_thr,pl_db__N1,omni_ds_ns__N1,omni_asa_d__N1,omni_asd_d__N1
TX1,RX1,LOS,40.000,76.804,14.986,14.770,15.400,76.676,30.377,28.930,22.520,74.630,29.771,28.930,22.520
TX1,RX2,LOS,100.000,85.204,73.053,14.160,8.100,85.162,69.040,21.060,18.970,82.850,62.483,21.060,18.970
TX1,RX3,LOS,193.000,88.520,114.979,0.000,4.990,88.491,116.669,10.970,57.680,86.890,112.054,10.970,57.680
TX1,RX4,NLOS,560.000,112.940,82.250,0.000,0.000,112.930,85.016,17.970,20.400,110.030,65.128,17.970,20.400
TX1,RX5,NLOS,880.000,124.821,0.864,0.000,0.000,124.845,0.856,10.970,10.970,124.790,0.856,10.970,10.970
TX1,RX6,NLOS,1000.000,,,,,,,,,,,,
TX1,RX7,LOS,424.000,102.116,178.771,0.000,0.000,101.769,185.788,16.730,82.520,100.200,184.093,16.730,82.520
TX2,RX1,LOS,58.000,84.463,10.041,43.220,14.720,84.347,19.288,62.160,24.160,80.740,19.773,62.160,24.160
TX2,RX2,NLOS,51.500,93.127,98.752,32.750,0.000,93.095,120.722,66.540,22.380,88.930,96.213,66.540,22.380
TX2,RX3,NLOS,100.880,109.781,128.730,3.480,13.160,108.372,154.001,20.690,97.740,101.200,102.261,20.690,97.740
TX3,RX1,NLOS,71.000,105.340,178.908,0.000,0.000,104.073,178.398,40.840,33.450,100.990,174.774,40.840,33.450
TX3,RX2,NLOS,45.000,92.298,49.401,12.040,13.110,91.967,57.028,30.250,38.480,88.920,53.223,30.250,38.480
TX3,RX3,NLOS,125.000,104.730,134.242,33.040,26.870,105.077,94.724,55.280,31.200,100.620,87.222,55.280,31.200
TX4,RX1,NLOS,88.700,101.859,93.588,0.000,0.000,101.193,50.658,19.960,64.510,97.700,48.652,19.960,64.510
TX4,RX2,LOS,120.000,90.197,1.082,0.000,0.000,90.058,27.822,18.150,18.210,87.250,22.748,18.150,18.210
TX4,RX3,NLOS,216.000,,,,,,,,,,,,
TX4,RX4,NLOS,185.000,125.436,139.391,0.000,0.000,125.914,38.880,16.800,22.140,124.500,33.005,16.800,22.140
TX5,RX1,LOS,52.000,84.542,0.858,0.000,4.910,84.352,28.936,17.350,18.530,81.980,27.195,17.350,18.530
TX5,RX2,NLOS,170.000,106.329,20.593,0.000,0.000,104.898,47.302,26.750,33.790,101.500,47.499,26.750,33.790
TX5,RX3,NLOS,141.000,109.444,101.324,32.090,35.910,109.088,92.872,52.510,89.490,106.300,89.788,52.510,89.490
