TX_RX_ID,Environment,TX_Power_dBm,PL_NYU_SUM_dB,PL_USC_perDelayMax_dB,Delta_PL_dB,DS_NYU_SUM_ns,DS_USC_perDelayMax_ns,Delta_DS_ns,ASA_NYU_10dB,ASA_NYU_15dB,ASA_NYU_20dB,ASA_USC,Delta_ASA_10dB,ASD_NYU_10dB,ASD_NYU_15dB,ASD_NYU_20dB,ASD_USC,Delta_ASD_10dB
T1-R1,LOS,-3.5,102.638833315253,103.485654586118,-0.846821270865618,7.48538064295561,7.67228486006863,-0.18690421711302,3.26465840306254,12.9621059784984,10.1841646152579,9.25541525307023,-5.99075685000769,3.26465840306254,12.7607244763967,10.1556345777312,8.2507607185364,-4.98610231547386
T1-R14,NLOS,-1.2,129.687787371397,131.51162269739,-1.82383532599323,13.0748194533639,12.2558533311172,0.818966122246685,54.8653011611976,52.7226278096364,53.4481392061136,51.7574434102113,3.10785775098623,3.26465840306265,2.67943003849162,1.95580370242929,8.53773646251594e-07,3.264657549289
T1-R16,NLOS,-1.2,126.928728478909,128.191627004921,-1.26289852601261,23.1298358158462,25.0431482726558,-1.91331245680956,50.2684649415347,45.4778770904904,43.5245757984234,42.7087300544018,7.55973488713291,3.26465840306243,2.67943003849148,3.57622140193211,1.81230657258134,1.45235183048108
T1-R18,NLOS,-1.2,136.940681086492,138.4299983439,-1.48931725740741,56.4670029190778,53.0581117418056,3.40889117727224,41.8024037881302,41.5079063903734,41.3776988943387,41.291516570846,0.5108872172842,9.10202701144889,8.69330633996327,8.40264867348482,8.08114424507231,1.02088276637658
T1-R23,LOS,-1.5,110.831284394908,112.667633141839,-1.83634874693112,22.0401241686714,23.1681430275549,-1.12801885888346,52.0339449634624,48.3679236089915,51.0502295421279,48.8186714259079,3.21527353755447,5.40620937746766,6.36973980173931,5.84060474430116,5.19615978143217,0.210049596035484
T1-R27,LOS,-1.87,104.406902447707,106.157589844382,-1.75068739667502,5.51565764255633,6.16092089666297,-0.645263254106637,3.26465840306231,3.60982273250533,3.09511326946962,5.23037020462697,-1.96571180156465,3.26465840306231,2.67943003849162,1.9558037024291,0.606655730994069,2.65800267206825
T1-R31,LOS,-1.87,105.05474233448,106.360313709718,-1.30557137523709,16.4595491462283,17.2993819547192,-0.839832808490861,3.26465840306243,4.15354231610399,3.55849666542737,9.14249869435062,-5.87784029128819,3.26465840306231,2.67943003849175,6.85977983440601,3.93937327174115,-0.674714868678838
T1-R5,LOS,-3.5,102.141931274457,103.109698117058,-0.967766842600952,3.18722623035819,2.8885762278985,0.298650002459694,3.26465840306243,3.09877426514411,2.76835542327196,10.2592547137558,-6.99459631069335,3.26465840306243,3.89895050961126,3.10670948756299,1.96299919035562,1.30165921270681
T1-R9,NLOS,-1.5,126.451212275545,127.474345922398,-1.02313364685286,19.7819684365945,19.5096270118472,0.272341424747303,70.8461147781867,69.6366100828713,67.7665503469482,67.0224822267669,3.82363255141986,3.26465840306254,2.67943003849162,1.95580370242929,1.20741826972573e-06,3.26465719564427
T2-R1,LOS,-2,112.046315123061,113.570312601496,-1.52399747843523,31.9628310600569,28.0967086229588,3.86612243709806,3.26465840306243,3.79902766754986,5.27289735034061,11.1079371622356,-7.84327875917314,3.26465840306243,2.92000048212396,5.1281944575439,7.64584455887874,-4.38118615581631
T2-R35,LOS,-2,109.241901667323,110.759892711285,-1.51799104396233,26.9928217560626,30.0783395985904,-3.08551784252785,3.26465840306231,3.99097604717403,27.1065826762468,23.7228326519676,-20.4581742489053,3.26465840306254,3.24702250814645,7.38030750844188,6.4977070216105,-3.23304861854796
T2-R36,LOS,-2,105.663969025403,106.749579356494,-1.08561033109102,17.6376440673655,18.4807484728175,-0.843104405451975,3.26465840306243,3.77506156083464,3.33688612454808,11.8104730851648,-8.5458146821024,3.26465840306254,3.29903293986381,3.44066194384118,4.04098252680514,-0.776324123742599
T3-R1,NLOS,-1.37,130.640044539459,133.400970553419,-2.76092601396039,16.0591828573162,15.9686642950192,0.0905185622969888,10.8940609779036,12.1738454271589,11.9892640448958,11.8024579556753,-0.90839697777171,6.67650494602652,6.06191702888466,5.78368902397937,5.49231916017547,1.18418578585105
T3-R35,LOS,-1.37,116.778513059139,118.795250151774,-2.01673709263503,27.1138590289322,26.3279634567242,0.785895572208013,13.4811742546818,12.4267755442317,12.4394155623884,12.29644416688,1.1847300878018,25.1139829215386,22.8512708436659,22.0936221725318,21.5623988839379,3.55158403760075
T3-R36,LOS,-1.37,115.133056434472,117.02945577409,-1.89639933961813,8.24921172878687,9.77992747722648,-1.53071574843961,3.26465840306243,3.67757583760519,3.22197453193239,6.52956620833145,-3.26490780526902,3.26465840306243,3.33784460726765,2.91348529861113,2.6960824247561,0.568575978306326
T3-R37,LOS,-1.37,120.605901083394,122.756785607382,-2.15088452398851,11.7020191871414,14.946124316823,-3.24410512968159,3.96403793870456,3.77731236963802,3.37913547803559,10.2102047708221,-6.24616683211753,3.26465840306254,3.27129515778686,2.69865877820261,1.86426621961495,1.40039218344759
T4-R1,NLOS,-1.72,128.210892515018,129.544493757722,-1.33360124270422,26.3803897607312,30.6537154855015,-4.2733257247703,3.26465840306254,2.67943003849148,24.3303457676103,18.8773360914732,-15.6126776884106,4.41523084482909,3.86146517858303,3.41513354284336,2.91509849991638,1.50013234491271
T4-R3,LOS,-1.72,113.312491334762,115.783326572426,-2.47083523766348,17.1696846036422,22.7813627411906,-5.61167813754838,4.99086127464498,4.65786601611887,4.08956122821806,7.90420183646479,-2.9133405618198,3.26465840306243,3.54273594103987,2.93771500186467,2.39880186171141,0.865856541351016
T4-R37,LOS,-1.72,105.099675977098,106.783883653127,-1.68420767602896,7.69663466133561,7.59444805007449,0.102186611261114,7.13611288453248,12.8147607998474,10.913219485972,10.0776327149098,-2.94151983037735,13.4243989934749,13.8763339671318,13.511510622895,12.9099494807274,0.514449512747484
T4-R38,NLOS,-1.72,138.235365597572,139.397291102842,-1.16192550527032,0.544094530640006,0.582030502853798,-0.0379359722137924,4.96457723633295,4.33056166036833,3.89446343628183,3.39091737737011,1.57365985896284,4.96457723633288,4.33056166036825,3.89446343628192,3.39091737737,1.57365985896288
T5-R1,NLOS,-3,115.393897531302,116.949100550781,-1.55520301947939,41.8199454365559,45.8792456901458,-4.0593002535899,57.4777027666841,52.9763126401023,51.3517156859499,49.6486154564974,7.82908731018676,10.0852993959811,9.93090893065684,11.0308230891338,10.4104364205348,-0.325137024553724
T5-R10,NLOS,-3,122.631615290721,126.106583943396,-3.47496865267411,36.5398585252952,47.0224522792758,-10.4825937539805,5.17576660026892,33.2245405489892,38.8279752090202,33.1016048641903,-27.9258382639214,19.4330792850244,18.6350073153929,18.3664030693678,17.6545552365373,1.77852404848704
T5-R3,LOS,-3,107.195045719569,108.9832221235,-1.78817640393036,15.5460669826401,17.8809164096852,-2.33484942704512,3.26465840306231,8.72139393217977,7.79268368888999,10.1571447710965,-6.89248636803417,3.26465840306254,8.44139832534013,8.31761377096734,7.97152154043974,-4.7068631373772
T5-R35,LOS,-3,110.932630288723,112.287555741311,-1.35492545258745,1.38769654255833,1.34032396126708,0.047372581291248,3.26465840306243,4.03888523829337,3.51278913238964,3.29479518405196,-0.0301367809895319,3.26465840306243,3.48011896982686,2.85071769250178,2.82665372253401,0.438004680528413
T6-R1,LOS,-1.55,104.032352382305,106.481182053137,-2.44882967083178,18.6629031591968,17.7380051074037,0.924898051793086,4.68426009538195,4.70972370736505,4.1642280981883,6.8277551084317,-2.14349501304975,4.85411677660768,4.65502767224077,4.24777134127699,4.41409438968121,0.440022386926467
T6-R39,NLOS,-1.55,113.189137748076,115.540089941671,-2.35095219359515,23.5693179180227,23.8421454644547,-0.272827546432044,61.4471247031242,62.2002690113534,61.6152517615104,62.6984137701747,-1.25128906705041,31.8304396986629,31.204344607014,31.3652244154349,31.1209904446,0.709449254062875
T6-R40,NLOS,-1.55,120.119451442881,122.783189810144,-2.66373836726343,29.7597199840972,35.9884340105448,-6.22871402644763,34.8773871052552,32.3412158010337,30.5920956481471,29.6625922304832,5.21479487477202,3.96938840123915,26.5995703204847,24.4316422450853,22.1180693169685,-18.1486809157294
